EnsemblGeneID	EntrezGeneID
ENSGALG00000026732	430210
ENSGALG00000003875	417181
ENSGALG00000003866	427762
ENSGALG00000027193	
ENSGALG00000005163	395597
ENSGALG00000003852	417180
ENSGALG00000024097	426630
ENSGALG00000014598	
ENSGALG00000002595	374056
ENSGALG00000002672	420104
ENSGALG00000028635	417179
ENSGALG00000012225	425789
ENSGALG00000015203	427267
ENSGALG00000014605	
ENSGALG00000000453	431122
ENSGALG00000003830	427760
ENSGALG00000026450	
ENSGALG00000003386	769410
ENSGALG00000009709	
ENSGALG00000007181	422087
ENSGALG00000027822	
ENSGALG00000009703	770724
ENSGALG00000000109	769005
ENSGALG00000003789	771980
ENSGALG00000018700	417178
ENSGALG00000003776	417177
ENSGALG00000007191	395719
ENSGALG00000027902	100859110
ENSGALG00000007194	100859142
ENSGALG00000028861	770737
ENSGALG00000028027	395448
ENSGALG00000026823	100857454
ENSGALG00000024090	395244
ENSGALG00000015200	427266
ENSGALG00000015195	396448
ENSGALG00000003490	428812
ENSGALG00000019795	100857706
ENSGALG00000027821	
ENSGALG00000007198	768991
ENSGALG00000007224	428675
ENSGALG00000015192	100859124
ENSGALG00000028458	100858862
ENSGALG00000026384	
ENSGALG00000003757	417175
ENSGALG00000028936	428813
ENSGALG00000017675	769492
ENSGALG00000003732	771901
ENSGALG00000023314	769048
ENSGALG00000003516	395472
ENSGALG00000003712	
ENSGALG00000024298	427264
ENSGALG00000003599	428814
ENSGALG00000024076	769677
ENSGALG00000003630	422964
ENSGALG00000020522	
ENSGALG00000029167	426398
ENSGALG00000014067	426396
ENSGALG00000020582	429050
ENSGALG00000027224	429847
ENSGALG00000021884	420107
ENSGALG00000002928	420109
ENSGALG00000011219	425670
ENSGALG00000013306	426017
ENSGALG00000007233	374091
ENSGALG00000008443	769231
ENSGALG00000007237	769169
ENSGALG00000002969	428348
ENSGALG00000003683	417172
ENSGALG00000003000	428349
ENSGALG00000029015	425719
ENSGALG00000005239	423025
ENSGALG00000013302	
ENSGALG00000003677	417171
ENSGALG00000023308	769277
ENSGALG00000007251	
ENSGALG00000026563	100858365
ENSGALG00000028850	426623
ENSGALG00000003661	
ENSGALG00000018688	430454
ENSGALG00000027375	100858401
ENSGALG00000024418	426015
ENSGALG00000013298	426014
ENSGALG00000014581	
ENSGALG00000022369	777441
ENSGALG00000025756	426323
ENSGALG00000027242	417169
ENSGALG00000003545	417168
ENSGALG00000003534	427759
ENSGALG00000028882	
ENSGALG00000005227	426629
ENSGALG00000005202	374050
ENSGALG00000025766	100858428
ENSGALG00000024292	
ENSGALG00000007286	422093
ENSGALG00000025809	100857264
ENSGALG00000007296	769355
ENSGALG00000007300	769203
ENSGALG00000026104	417167
ENSGALG00000019793	
ENSGALG00000007305	422094
ENSGALG00000007352	422095
ENSGALG00000013404	430522
ENSGALG00000023298	
ENSGALG00000007367	422097
ENSGALG00000023297	
ENSGALG00000026189	769329
ENSGALG00000002621	427091
ENSGALG00000007386	428677
ENSGALG00000007389	428678
ENSGALG00000007522	422099
ENSGALG00000003509	772069
ENSGALG00000028865	
ENSGALG00000007623	
ENSGALG00000006857	422100
ENSGALG00000003500	417166
ENSGALG00000023279	
ENSGALG00000003024	420112
ENSGALG00000007661	
ENSGALG00000003047	
ENSGALG00000005771	100857578
ENSGALG00000024059	395691
ENSGALG00000026023	429461
ENSGALG00000003058	
ENSGALG00000003074	420115
ENSGALG00000005197	
ENSGALG00000005192	395757
ENSGALG00000019768	422102
ENSGALG00000019761	769665
ENSGALG00000003478	395977
ENSGALG00000013919	430767
ENSGALG00000007673	422103
ENSGALG00000003471	417165
ENSGALG00000013922	395418
ENSGALG00000007676	422104
ENSGALG00000003441	417164
ENSGALG00000005175	769879
ENSGALG00000003412	
ENSGALG00000019757	422106
ENSGALG00000007702	414780
ENSGALG00000005190	425097
ENSGALG00000003130	420116
ENSGALG00000020513	769951
ENSGALG00000007713	422107
ENSGALG00000026246	770547
ENSGALG00000019755	769812
ENSGALG00000003153	420117
ENSGALG00000007718	
ENSGALG00000027789	100859318
ENSGALG00000003160	
ENSGALG00000005182	428840
ENSGALG00000007650	422108
ENSGALG00000007723	422109
ENSGALG00000003161	396132
ENSGALG00000020514	428839
ENSGALG00000003220	420119
ENSGALG00000003340	417163
ENSGALG00000007747	422110
ENSGALG00000003320	417161
ENSGALG00000027415	431090
ENSGALG00000007770	428683
ENSGALG00000007775	428684
ENSGALG00000007791	422111
ENSGALG00000023265	
ENSGALG00000026800	
ENSGALG00000026779	
ENSGALG00000028214	422112
ENSGALG00000027676	776251
ENSGALG00000007808	422113
ENSGALG00000026295	428685
ENSGALG00000007822	422114
ENSGALG00000026015	
ENSGALG00000007926	422115
ENSGALG00000003210	417160
ENSGALG00000003204	417159
ENSGALG00000003197	417158
ENSGALG00000027392	426566
ENSGALG00000003187	417157
ENSGALG00000003181	417156
ENSGALG00000028265	374273
ENSGALG00000003175	417154
ENSGALG00000026394	776194
ENSGALG00000007934	422116
ENSGALG00000007955	422117
ENSGALG00000021626	
ENSGALG00000003166	
ENSGALG00000003283	420120
ENSGALG00000003304	771015
ENSGALG00000007961	422118
ENSGALG00000021620	420122
ENSGALG00000007965	422119
ENSGALG00000026985	100857896
ENSGALG00000007971	770125
ENSGALG00000007974	422120
ENSGALG00000027666	769979
ENSGALG00000005089	423017
ENSGALG00000003028	
ENSGALG00000005085	423016
ENSGALG00000005081	100857960
ENSGALG00000005059	
ENSGALG00000026146	100858730
ENSGALG00000004838	378922
ENSGALG00000021619	771070
ENSGALG00000003357	
ENSGALG00000020515	
ENSGALG00000004827	428837
ENSGALG00000004792	423014
ENSGALG00000003371	420124
ENSGALG00000004744	
ENSGALG00000004706	426704
ENSGALG00000024273	420127
ENSGALG00000026576	417151
ENSGALG00000004686	423011
ENSGALG00000002982	425954
ENSGALG00000003385	420128
ENSGALG00000028269	
ENSGALG00000007992	422121
ENSGALG00000021520	777472
ENSGALG00000028856	
ENSGALG00000002955	417147
ENSGALG00000029158	
ENSGALG00000026390	423010
ENSGALG00000028890	415675
ENSGALG00000028890	100859590
ENSGALG00000020517	
ENSGALG00000004647	423009
ENSGALG00000028150	
ENSGALG00000004643	423008
ENSGALG00000027430	427535
ENSGALG00000027430	100859622
ENSGALG00000007999	422122
ENSGALG00000026715	100858848
ENSGALG00000026179	100858326
ENSGALG00000027607	100857596
ENSGALG00000028984	100857696
ENSGALG00000002926	395549
ENSGALG00000008011	422123
ENSGALG00000003389	420129
ENSGALG00000027724	100859289
ENSGALG00000003868	426287
ENSGALG00000003868	100858339
ENSGALG00000003868	100859013
ENSGALG00000023988	428833
ENSGALG00000008016	386572
ENSGALG00000004522	423006
ENSGALG00000008023	422124
ENSGALG00000008034	
ENSGALG00000002855	417146
ENSGALG00000001104	417477
ENSGALG00000001104	100858362
ENSGALG00000004516	396086
ENSGALG00000004468	423004
ENSGALG00000027863	415832
ENSGALG00000027863	100859242
ENSGALG00000028400	423003
ENSGALG00000019736	100859572
ENSGALG00000003428	771142
ENSGALG00000008041	422126
ENSGALG00000023982	770519
ENSGALG00000003499	420130
ENSGALG00000026929	
ENSGALG00000026193	
ENSGALG00000004459	770534
ENSGALG00000026382	
ENSGALG00000027773	
ENSGALG00000028941	
ENSGALG00000004414	423001
ENSGALG00000028893	428825
ENSGALG00000004393	428824
ENSGALG00000027778	770492
ENSGALG00000008057	422127
ENSGALG00000004362	423000
ENSGALG00000027182	
ENSGALG00000023245	
ENSGALG00000018791	
ENSGALG00000000522	426684
ENSGALG00000014436	
ENSGALG00000002699	373938
ENSGALG00000029074	
ENSGALG00000014433	426549
ENSGALG00000014430	
ENSGALG00000026476	
ENSGALG00000022337	425994
ENSGALG00000028024	431244
ENSGALG00000004328	
ENSGALG00000002682	427757
ENSGALG00000004306	422998
ENSGALG00000002659	417144
ENSGALG00000004300	422997
ENSGALG00000027301	
ENSGALG00000004280	
ENSGALG00000003527	
ENSGALG00000002633	772195
ENSGALG00000002626	417143
ENSGALG00000004267	422995
ENSGALG00000004260	
ENSGALG00000024264	
ENSGALG00000003561	420131
ENSGALG00000002546	395568
ENSGALG00000027696	425795
ENSGALG00000004250	
ENSGALG00000003572	420132
ENSGALG00000003579	420133
ENSGALG00000025894	770053
ENSGALG00000026970	770612
ENSGALG00000004243	422993
ENSGALG00000004239	422992
ENSGALG00000004234	422991
ENSGALG00000004223	
ENSGALG00000004219	422990
ENSGALG00000029054	100858352
ENSGALG00000002515	395535
ENSGALG00000002489	
ENSGALG00000026303	417140
ENSGALG00000002437	417139
ENSGALG00000023517	772114
ENSGALG00000018582	100858168
ENSGALG00000022210	
ENSGALG00000013442	770039
ENSGALG00000013442	100859834
ENSGALG00000004201	422988
ENSGALG00000004191	422987
ENSGALG00000004172	422985
ENSGALG00000004166	422984
ENSGALG00000002420	417137
ENSGALG00000004153	422983
ENSGALG00000025835	
ENSGALG00000028533	
ENSGALG00000026678	426354
ENSGALG00000028482	
ENSGALG00000004106	422982
ENSGALG00000002375	
ENSGALG00000004085	
ENSGALG00000003703	420134
ENSGALG00000029139	
ENSGALG00000027535	
ENSGALG00000003717	420135
ENSGALG00000027851	
ENSGALG00000003727	420137
ENSGALG00000028479	
ENSGALG00000003742	420138
ENSGALG00000021610	
ENSGALG00000004044	422979
ENSGALG00000003771	420140
ENSGALG00000004023	
ENSGALG00000003999	422977
ENSGALG00000003965	422976
ENSGALG00000003958	422975
ENSGALG00000003908	422974
ENSGALG00000002364	417136
ENSGALG00000003778	771253
ENSGALG00000027132	771278
ENSGALG00000003794	420143
ENSGALG00000003824	420144
ENSGALG00000021883	420145
ENSGALG00000003914	420146
ENSGALG00000003777	770845
ENSGALG00000003748	422973
ENSGALG00000001964	417135
ENSGALG00000003692	422971
ENSGALG00000003655	422970
ENSGALG00000003648	771022
ENSGALG00000013311	422968
ENSGALG00000001950	417134
ENSGALG00000013304	431338
ENSGALG00000013297	426932
ENSGALG00000001921	772136
ENSGALG00000028903	
ENSGALG00000001910	
ENSGALG00000028224	
ENSGALG00000021601	420147
ENSGALG00000022153	
ENSGALG00000027500	100857683
ENSGALG00000026514	
ENSGALG00000027081	100857758
ENSGALG00000012194	421609
ENSGALG00000012191	428605
ENSGALG00000012170	421608
ENSGALG00000012162	
ENSGALG00000001889	427756
ENSGALG00000012160	421607
ENSGALG00000012153	421606
ENSGALG00000013852	426289
ENSGALG00000012143	
ENSGALG00000007604	
ENSGALG00000012140	374108
ENSGALG00000028293	425100
ENSGALG00000012139	421605
ENSGALG00000012136	421604
ENSGALG00000012130	421603
ENSGALG00000001881	772152
ENSGALG00000012128	771365
ENSGALG00000012127	428603
ENSGALG00000001797	417132
ENSGALG00000012123	395943
ENSGALG00000012121	428602
ENSGALG00000001762	417130
